Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150608,5531,鄉林,323730,2548561,7.80,7.93,7.65,7.83,-0.2200,192
1150608,5533,皇鼎,339867,4654487,13.70,13.80,13.65,13.75,-0.2500,136
1150608,5534,長虹,2283956,176810353,75.50,78.90,75.40,76.80,-0.6000,1857
1150608,5538,東明-KY,43035,1489438,35.15,36.25,34.10,34.10,-1.0500,38
1150608,5546,永固-KY,228342,3673170,17.10,17.10,15.40,15.40,-1.7000,119
1150608,5607,遠雄港,907635,46798943,50.50,52.50,50.50,52.40,-0.9000,637
1150608,5608,四維航,1396349,20245664,14.10,14.75,14.05,14.65,-0.4000,750
1150608,5706,鳳凰,423559,22111557,52.00,52.70,51.10,52.40,-0.8000,407
1150608,5871,中租-KY,19019042,2193133799,113.50,118.00,112.00,115.50,-2.5000,9664
1150608,5871A,中租-KY甲特,34251,3519158,102.50,103.00,102.50,103.00,0.0000,23
1150608,5876,上海商銀,9180636,368357807,40.20,40.50,39.85,40.15,-0.6000,4019
1150608,5880,合庫金,28384272,655114432,23.00,23.35,22.90,23.05,-0.4000,8761
1150608,5906,台南-KY,187,8435,,,,,0.0000,3
1150608,5907,大洋-KY,116581,594504,5.04,5.20,5.04,5.14,-0.0600,89
1150608,6005,群益證,32310221,1318691645,41.05,42.00,40.55,40.55,-4.5000,15466
1150608,6024,群益期,1060081,63584164,58.50,60.90,58.30,60.60,0.2000,914
1150608,6108,競國,1826980,33988143,18.50,19.05,18.05,18.90,-0.7000,670
1150608,6112,邁達特,6082295,297076564,45.00,51.90,45.00,51.20,1.2000,4822
1150608,6115,鎰勝,433495,21047951,47.00,49.15,47.00,48.70,-0.7000,256
1150608,6116,彩晶,8621232,143542983,16.65,16.65,16.65,16.65,-1.8000,4749
1150608,6117,迎廣,959340,73828676,74.80,79.90,74.80,79.70,-3.3000,838
1150608,6120,達運,3886497,54837480,13.90,14.40,13.85,14.35,-0.9500,1508
1150608,6128,上福,95083,1919598,20.30,20.70,20.00,20.70,-0.1000,77
1150608,6133,金橋,1715753,38736428,21.75,23.35,21.75,23.00,-1.1500,915
1150608,6136,富爾特,352379,8859173,25.05,25.45,24.80,25.35,-0.5000,286
1150608,6139,亞翔,4577970,3336020320,728.00,740.00,728.00,728.00,-80.0000,9671
1150608,6141,柏承,1517811,53552615,34.65,36.55,34.65,35.50,-3.0000,1541
1150608,6142,友勁,391301,3239010,8.28,8.44,8.10,8.40,-0.3100,253
1150608,6152,百一,1662228,24785874,14.75,15.35,14.55,15.20,-0.6000,760
1150608,6153,嘉聯益,23126322,457733204,16.90,20.35,16.85,20.35,1.8500,7540
1150608,6155,鈞寶,63979426,5255017536,72.30,86.70,72.30,77.30,-2.0000,42060
1150608,6164,華興,745755,9137304,12.05,12.60,11.95,12.50,-0.6000,470
1150608,6165,浪凡,474935,22473722,46.50,48.35,46.30,48.35,-1.0000,409
1150608,6166,凌華,2340767,288408503,120.50,127.50,120.00,125.00,-8.0000,2127
1150608,6168,宏齊,2343591,55834957,23.50,24.40,23.50,24.30,-1.7500,1472
1150608,6176,瑞儀,13738293,1282890212,92.10,94.80,91.50,94.10,-6.9000,10197
1150608,6177,達麗,1791097,79918735,43.90,45.00,43.90,44.65,-0.8000,1164
